Year,Job Family,Total Salary
2014,Fire Services,156829.56
2013,Fire Services,144486.53
2016,Fire Services,138746.65
2015,Fire Services,157958.67
2014,Fire Services,157044.54
2013,Fire Services,163680.92
2016,Fire Services,60727.04
2016,Fire Services,157845.54
2015,Fire Services,167890.37
2014,Fire Services,148950.85
2013,Fire Services,206264.07
2016,Fire Services,44639.37
2015,Fire Services,119610.97
2014,Fire Services,204478.61
2013,Fire Services,184519.12
2016,Fire Services,3168.0
2016,Fire Services,84652.24
2015,Fire Services,24004.0
2016,Fire Services,102319.54
2015,Fire Services,114032.32
2014,Fire Services,77241.37
2016,Fire Services,147438.68
2015,Fire Services,160684.21
2014,Fire Services,158185.74
2013,Fire Services,158116.19
2016,Fire Services,4351.05
2016,Fire Services,38102.8
2016,Fire Services,206220.36
2015,Fire Services,178988.59
2014,Fire Services,59385.75
2013,Fire Services,65748.63
2016,Fire Services,37925.38
2016,Fire Services,11192.37
